date,ticker,side,strike,expiry,channel,bid,pct,qty,avg,exit,added,pnl,book,R,outcome,notes
2026-03-10,QQQ,put,610,2026-03-10,etf-options,0.95,200.0,33,0.8982,2.85,True,6441.0,11441.0,12.88,win_partial,33% closing runners; 100% 09:06; 200% 12:24
2026-03-12,QQQ,call,600,2026-03-12,etf-options,1.3,23.08,24,1.2269,1.6,True,895.6,12336.6,1.79,win,Reentry moved fast; 10% ready-to-close 10:35; 1.30 -> 1.60 and all out 10:36; 4m latency
2026-03-19,QQQ,call,592,2026-03-19,etf-options,2.05,7.0,14,1.9402,2.1935,True,354.65,12691.25,0.71,win_partial,Close at 7% 07:05; 12m latency
2026-04-01,QQQ,call,585,2026-04-01,etf-options,1.5,225.0,20,1.4212,4.875,True,6907.5,19598.75,13.81,win_partial,Avg .80/new .85; 38% full close 07:04; .85 -> 2.10 / 165% 08:08; 225% 10:18
2026-04-02,QQQ,call,577,2026-04-02,etf-options,1.01,1000.0,30,0.9544,11.11,True,30466.65,50065.4,60.93,win,76% 06:51; 200% 06:58; 400% 07:22; 1000% last runner 07:49
2026-04-13,QQQ,put,609,2026-04-13,etf-options,1.85,20.0,16,1.7459,2.22,True,758.5,50823.9,1.52,win_partial,Close runners at 20% 06:46; 11m latency
2026-05-13,SQQQ,call,43,2026-05-15,etf-options,1.05,45.0,30,0.9922,1.5225,True,1590.75,52414.65,3.18,win_partial,9% then 17%; 22% close 06:45; runners at 45% 07:08; 32m latency
2026-05-13,ORCL,call,190,2026-05-15,options-king,2.9,65.0,10,2.726,4.785,True,2059.0,54473.65,4.12,win_partial,ORCL at 65%; close runners if still holding
2026-05-14,NVDA,call,237.5,2026-05-15,options-king,1.3,95.0,24,1.2269,2.535,True,3139.5,57613.15,6.28,win_partial,1.30 -> 1.60 (27%) at 06:45; closed runners at 70%; later 2.20 / 95% update
2026-05-14,NVDA,call,227.5,2026-05-15,options-king,2.6,211.54,11,2.4582,8.1,True,6206.04,63819.19,12.41,win,100%+ at 06:44; 2.60 -> 8.10 at 11:17
2026-05-14,POET,call,10,2026-07-17,options-king,1.75,500.0,17,1.6574,10.5,True,15032.5,78851.69,30.06,win_partial,"POET 500% update; swing contract, runner outcome shown"
2026-05-18,NKE,call,42.5,2026-06-18,options-king,1.4,375.0,22,1.3236,6.65,True,11718.0,90569.69,23.44,win_partial,13% half close at 06:46 (14m); 1.40 -> 5.00 / 375% on 05/28; runners
2026-05-19,AAPL,call,300,2026-05-22,options-king,3.0,20.0,9,2.85,3.6,True,675.0,91244.69,1.35,win_partial,15% update at 06:41; 20% close at 06:50 (9m latency)
2026-05-20,NOW,call,105,2026-05-29,options-king,2.55,63.1,11,2.4109,4.159,True,1922.95,93167.64,3.85,win_partial,Last runner 63% sold majority; screenshot showed 05/29 buy at 3.05 and +63.10%
2026-05-21,NVDA,call,240,2026-05-29,options-king,0.95,7.0,33,0.8982,1.0165,True,390.45,93558.09,0.78,win_partial,7% close at 07:01; 8m same-morning latency
2026-05-26,NOW,call,108,2026-06-18,options-king,3.25,100.0,9,3.0875,6.5,True,3071.25,96629.34,6.14,win,15% closed at 06:59; later 3.25 -> 6.25 and 100% close; runners reached 400%
2026-05-27,NVDA,put,210,2026-05-27,options-king,0.95,100.0,33,0.8982,1.9,True,3306.0,99935.34,6.61,win,80% fully closed at 06:44; 100% banger at 07:20
2026-05-28,SNOW,put,220,2026-05-29,options-king,2.9,-6.9,10,2.726,2.6999,True,-26.1,99909.24,-0.05,loss,Closed 2.70 at 06:39; not moving as expected; 5m rapid-loss latency
2026-06-04,NVDA,call,215,2026-06-08,options-king,2.25,75.0,13,2.1202,3.9375,True,2362.5,102271.74,4.73,win_partial,18% close at 07:39; later 75% banger at 08:42
2026-06-04,NVDA,call,215,2026-06-05,options-king,2.3,75.0,13,2.1673,4.025,True,2415.0,104686.74,4.83,win_partial,Avg 1.78; 2/2 printing; 75% banger update
2026-06-08,NVDA,put,207.5,2026-06-10,options-king,2.75,12.0,11,2.6,3.08,True,528.0,105214.74,1.06,win_partial,Closed at 3.10 for 12% at 06:55 (20m); runners at 3.85
2026-06-09,QQQ,put,720,2026-06-09,etf-options,2.16,1200.0,14,2.0443,28.08,True,36450.0,141664.74,72.9,win_partial,SL moved up quickly 06:47; runners 100% 07:14; 1200% banger 09:07
2026-06-10,NVDA,call,207.5,2026-06-12,options-king,2.65,15.0,11,2.5055,3.0475,True,596.25,142260.99,1.19,win_partial,15% close at 07:25; 11m latency
2026-06-11,ORCL,call,200,2026-07-17,options-king,5.0,100.0,6,4.75,10.0,True,3150.0,145410.99,6.3,win,18% partial update on 06/11; fully closed 06/15
2026-06-15,QQQ,put,738,2026-06-15,etf-options,1.3,0.0,15,1.3,1.3,False,0.0,145410.99,0.0,scratch,PUT lotto; closed at breakeven 07:39; 5m latency
2026-06-15,NVDA,call,220,2026-06-29,options-king,2.1,16.67,14,1.9875,2.4501,True,647.6,146058.59,1.3,win_partial,Partial close 2.10 -> 2.45 at 08:01; later banger updates
2026-06-17,NVDA,call,210,2026-06-29,options-king,3.1,50.0,9,2.945,4.65,True,1534.5,147593.09,3.07,win_partial,3.10 -> 3.70 instant banger; later 3.10 -> 4.65 / 65% and PT50%+
2026-06-22,QQQ,call,746,2026-06-22,etf-options,1.25,45.0,25,1.1825,1.8125,True,1575.0,149168.09,3.15,win_partial,"Added more at .90, new avg 1.10; 23% close 06:36; 45% runners 06:38; 7m latency"
2026-06-24,GOOGL,call,355,2026-06-26,options-king,2.45,40.0,12,2.3275,3.43,True,1323.0,150491.09,2.65,win_partial,Avg 2.15; 5% close at 06:58; 40% cash at 07:06 (22m latency)
2026-06-25,NOW,call,95,2026-07-10,options-king,2.5,350.0,12,2.375,11.25,True,10650.0,161141.09,21.3,win_partial,10% at 06:42; 20% close 07:09; 350% runners update on 06/29
